city,latitude,longitude
New Delhi,28.6139,77.209
Mumbai,19.076,72.8777
Bengaluru,12.9716,77.5946
Kolkata,22.5726,88.3639
Chennai,13.0827,80.2707
Hyderabad,17.385,78.4867
Pune,18.5204,73.8567
Ahmedabad,23.0225,72.5714
Jaipur,26.9124,75.7873
Lucknow,26.8467,80.9462
Kanpur,26.4499,80.3319
Nagpur,21.1458,79.0882
Indore,22.7196,75.8577
Bhopal,23.2599,77.4126
Visakhapatnam,17.6868,83.2185
Patna,25.5941,85.1376
Ludhiana,30.9,75.8573
Agra,27.1767,78.0081
Nashik,19.9975,73.7898
Varanasi,25.3176,82.9739
Vadodara,22.3072,73.1812
Srinagar,34.0837,74.7973
Thiruvananthapuram,8.5241,76.9366
Kochi,9.9312,76.2673
Ranchi,23.3441,85.3096
Bhubaneswar,20.2961,85.8245
Guwahati,26.1445,91.7362
Chandigarh,30.7333,76.7794
Dehradun,30.3165,78.0322
Amritsar,31.634,74.8723
